Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
K2-141 b,0.069,0.018,0.038,0.14,0.01598,2570.0,2161.0,3.337,0.2803,0.94,8.4,61.87,4599.0,4.62,True,nexsci
K2-141 c,,,,0.62,0.02328,,,2.171,7.7485,,8.4,61.87,4599.0,4.62,True,nexsci
K2-146 b,0.0,0.002,0.03,0.18,0.01816,708.0,595.0,3.128,2.6446,1.32,11.4,79.3,3385.0,4.9,True,nexsci
K2-167 b,0.002,0.006,0.051,0.2,0.0181,1346.0,1132.0,3.041,9.9786,3.631,6.9,80.9,6141.0,4.24,True,nexsci
K2-147 b,0.0,0.001,0.062,0.07,0.00099,956.0,804.0,2.764,0.9619,1.0296,10.0,90.55,3775.0,5.0,True,nexsci
K2-148 b,0.0,0.001,0.013,0.12,0.00733,871.0,733.0,3.108,4.3839,1.776,10.3,124.46,4079.0,4.65,True,nexsci
K2-148 c,0.0,0.001,0.017,0.15,0.0115,748.0,629.0,3.08,6.9226,2.0304,10.3,124.46,4079.0,4.65,True,nexsci
K2-157 b,,,,0.09,0.00306,,,2.981,0.3653,,11.0,298.37,5456.0,4.5,True,nexsci
K2-148 d,0.0,0.0,0.013,0.15,0.0105,667.0,561.0,3.087,9.7579,1.8,10.3,124.46,4079.0,4.65,True,nexsci
K2-149 b,,,,0.15,0.0105,563.0,473.0,3.087,11.332,,10.6,123.68,3745.0,4.71,True,nexsci
K2-14 b,0.0,0.002,0.036,0.43,0.065,582.0,489.0,2.942,8.368,2.3304,12.6,364.05,3789.0,4.89,True,nexsci
K2-170 c,,,,0.16,0.0123,,,3.07,12.4,4.176,11.1,392.87,5748.0,4.34,True,nexsci
K2-150 b,0.0,0.0,0.019,0.18,0.0147,494.0,415.0,3.061,10.5936,2.4,11.2,102.48,3499.0,4.82,True,nexsci
K2-151 b,0.0,0.001,0.025,0.13,0.00889,736.0,619.0,3.095,3.8355,1.5408,10.1,69.48,3695.0,4.8,True,nexsci
K2-152 b,,,,0.2,0.0184,437.0,368.0,3.04,32.6479,,10.1,108.45,4044.0,4.67,True,nexsci
K2-205 b,,,,0.18,0.0146,,,3.058,26.6723,6.048,10.9,405.3,5890.0,4.25,True,nexsci
K2-153 b,,,,0.18,0.0147,648.0,545.0,3.061,7.5157,,11.2,143.13,3845.0,4.73,True,nexsci
K2-154 b,,,,0.18,0.0145,927.0,779.0,3.055,3.6763,,10.4,129.36,4097.0,4.65,True,nexsci
K2-154 c,,,,0.18,0.0155,717.0,603.0,3.05,7.9549,,10.4,129.36,4097.0,4.65,True,nexsci
K2-206 b,,,,0.25,0.0259,,,3.015,18.2945,,10.9,244.44,5043.0,4.46,True,nexsci
K2-155 b,0.0,0.002,0.034,0.16,0.0123,784.0,660.0,3.07,6.342,2.4096,9.5,72.8,4258.0,4.6,True,nexsci
K2-155 c,0.0,0.002,0.052,0.23,0.0229,605.0,508.0,3.023,13.85,3.528,9.5,72.8,4258.0,4.6,True,nexsci
K2-155 d,0.0,0.0,0.027,0.17,0.0134,423.0,355.0,3.06,40.718,4.464,9.5,72.8,4258.0,4.6,True,nexsci
K2-172 b,,,,0.15,0.0107,,,3.077,14.3169,3.84,10.7,249.74,5569.0,4.61,True,nexsci
K2-156 b,,,,0.1,0.0043,1650.0,1387.0,3.045,0.8131,,10.4,150.21,4460.0,4.7,True,nexsci
K2-158 b,,,,0.24,0.0235,1033.0,868.0,3.019,10.0605,,10.0,197.3,5503.0,4.45,True,nexsci
K2-158 c,,,,0.11,0.00687,1233.0,1037.0,3.117,5.9028,,10.0,197.3,5503.0,4.45,True,nexsci
K2-172 c,,,,0.29,0.0326,,,2.995,29.6268,4.656,10.7,249.74,5569.0,4.61,True,nexsci
K2-159 b,,,,0.2,0.018,890.0,749.0,3.039,12.4221,,10.0,171.0,5425.0,4.56,True,nexsci
K2-15 b,0.0,0.001,0.01,0.22,0.0211,804.0,676.0,3.03,11.8104,2.4024,12.5,493.99,5131.0,4.57,True,nexsci
K2-160 b,,,,0.28,0.0322,,,2.995,3.7059,,11.0,315.36,5649.0,4.61,True,nexsci
K2-161 b,,,,0.55,0.0978,,,2.91,9.2832,,10.3,916.32,4972.0,3.63,True,nexsci
K2-162 b,,,,0.13,0.00839,818.0,688.0,3.104,9.4589,,9.9,124.43,4842.0,4.63,True,nexsci
K2-163 b,,,,0.22,0.0209,,,3.03,6.6731,,10.6,208.53,4937.0,4.71,True,nexsci
K2-164 b,,,,0.29,0.0334,,,2.993,17.3551,9.168,9.8,375.67,5791.0,3.81,True,nexsci
K2-165 b,,,,0.11,0.00682,,,3.114,2.355,,9.5,134.59,5185.0,4.46,True,nexsci
K2-165 c,,,,0.14,0.00955,,,3.088,4.3827,,9.5,134.59,5185.0,4.46,True,nexsci
K2-166 b,,,,0.2,0.0171,1480.0,1245.0,3.047,8.5269,,10.6,476.88,5960.0,4.09,True,nexsci
K2-16 b,0.0,0.001,0.01,0.18,0.0149,855.0,719.0,3.057,7.6188,2.184,12.1,334.97,4742.0,4.51,True,nexsci
K2-16 c,0.0,0.0,0.011,0.23,0.022,630.0,530.0,3.025,19.0786,3.01,12.1,334.97,4742.0,4.51,True,nexsci
K2-208 b,,,,0.15,0.0109,,,3.079,4.1909,2.184,10.7,256.89,5582.0,4.62,True,nexsci
K2-17 b,0.0,0.0,0.019,0.2,0.0176,583.0,491.0,3.042,17.9675,2.592,10.3,125.11,4320.0,4.8,True,nexsci
K2-180 b,0.0,0.002,0.016,0.23,0.036,953.0,801.0,3.246,8.8657,2.98,10.7,203.9,5306.0,4.57,True,nexsci
K2-185 b,,,,0.1,0.00505,,809.0,3.072,10.6164,2.6,10.7,268.36,5788.0,4.48,True,nexsci
K2-186 b,,,,0.28,0.0321,,,2.997,41.4742,6.12,10.8,330.74,5784.0,4.45,True,nexsci
K2-181 b,0.001,0.002,0.015,0.25,0.0266,1252.0,1053.0,3.013,6.8943,2.6712,11.0,360.91,5608.0,4.38,True,nexsci
K2-182 b,0.001,0.005,0.015,0.24,0.06293,1149.0,966.0,3.433,4.737,2.5704,9.9,154.83,5170.0,4.61,True,nexsci
K2-183 b,,,,0.1,0.0043,,,3.045,0.4693,1.5408,11.0,329.04,5482.0,4.6,True,nexsci
K2-209 b,,,,0.08,0.00184,,,2.886,2.0806,,8.6,76.5,4720.0,4.46,True,nexsci
K2-183 c,0.0,0.001,0.016,0.2,0.0186,960.0,808.0,3.04,10.788,3.8496,11.0,329.04,5482.0,4.6,True,nexsci
K2-183 d,0.0,0.001,0.014,0.2,0.0186,750.0,631.0,3.04,22.6203,4.92,11.0,329.04,5482.0,4.6,True,nexsci
K2-184 b,0.0,0.0,0.022,0.13,0.00869,635.0,534.0,3.099,16.978,2.4912,8.4,75.59,5245.0,4.62,True,nexsci
K2-190 c,,,,0.1,0.00421,,,3.036,21.574,,9.4,160.68,5631.0,4.38,True,nexsci
K2-187 b,0.004,0.002,0.011,0.11,0.00588,2218.0,1865.0,3.105,0.774,1.5792,11.2,330.92,5438.0,4.6,True,nexsci
K2-187 c,0.001,0.001,0.01,0.13,0.008,1435.0,1207.0,3.103,2.8715,2.376,11.2,330.92,5438.0,4.6,True,nexsci
K2-187 d,0.0,0.002,0.016,0.21,0.02,1059.0,890.0,3.034,7.1496,2.8392,11.2,330.92,5438.0,4.6,True,nexsci
K2-18 b,0.0,0.0,0.04,0.21,0.02807,336.0,282.0,3.194,32.9396,2.682,8.9,38.03,3457.0,4.79,True,nexsci
K2-187 e,0.0,0.001,0.012,0.17,0.0134,854.0,718.0,3.06,13.6066,4.0296,11.2,330.92,5438.0,4.6,True,nexsci
K2-188 b,,,,0.12,0.00752,2199.0,1849.0,3.112,1.7422,,11.1,446.82,5977.0,4.31,True,nexsci
K2-188 c,0.001,0.002,0.014,0.25,0.0264,1334.0,1122.0,3.013,7.8103,3.5808,11.1,446.82,5977.0,4.31,True,nexsci
K2-18 c,,,,0.24,0.02363,518.0,436.0,3.022,8.962,,8.9,38.03,3457.0,4.79,False,nexsci
K2-189 b,0.001,0.002,0.014,0.14,0.0092,1554.0,1306.0,3.091,2.5883,2.22,10.6,242.11,5519.0,4.53,True,nexsci
K2-189 c,0.0,0.003,0.022,0.22,0.0214,1132.0,952.0,3.028,6.6792,2.7096,10.6,242.11,5519.0,4.53,True,nexsci
K2-192 b,0.0,0.001,0.011,0.14,0.0092,1218.0,1024.0,3.091,4.1628,1.6176,10.7,221.75,5222.0,4.57,True,nexsci
HD 158259 c,,,,0.2,0.01762,,,3.043,3.432,,5.0,27.05,5802.0,4.25,False,nexsci
K2-193 b,0.0,0.002,0.022,0.35,0.0465,960.0,807.0,2.969,14.7869,4.32,11.5,411.92,5817.0,4.46,True,nexsci
K2-194 b,,,,0.33,0.0405,,,2.978,39.7214,8.52,11.6,629.51,5979.0,4.21,True,nexsci
K2-195 b,0.0,0.002,0.022,0.28,0.0313,938.0,789.0,2.999,15.853,4.8408,10.9,315.01,5713.0,4.42,True,nexsci
K2-196 b,,,,0.32,0.0397,,,2.98,48.3242,,10.6,584.88,6045.0,4.08,True,nexsci
K2-195 c,,,,0.23,0.0225,,,3.023,28.4828,5.976,10.9,315.01,5712.0,4.55,True,nexsci
K2-197 b,0.0,0.002,0.023,0.23,0.0223,1104.0,928.0,3.027,8.3579,3.4704,10.5,247.64,5667.0,4.5,True,nexsci
K2-199 b,0.0,0.003,0.015,0.15,0.02171,1087.0,914.0,3.356,3.2254,2.0664,9.6,107.52,4491.0,4.64,True,nexsci
K2-201 b,,,,0.13,0.008,,,3.103,1.0598,1.7496,10.2,197.93,5507.0,4.68,True,nexsci
K2-199 c,0.0,0.004,0.032,0.25,0.03901,825.0,694.0,3.176,7.3745,2.5728,9.6,107.52,4491.0,4.64,True,nexsci
K2-19 b,0.001,0.014,0.084,0.62,0.10194,1016.0,854.0,2.812,7.9222,3.237,11.2,289.83,5322.0,4.51,True,nexsci
K2-19 c,0.0,0.003,0.048,0.37,0.03398,887.0,746.0,2.798,11.8993,3.823,11.2,289.83,5322.0,4.51,True,nexsci
K2-200 b,,,,0.12,0.00766,,,3.106,2.8499,1.3416,10.4,184.13,5233.0,4.71,True,nexsci
K2-19 d,0.0,0.001,0.001,0.1,0.03146,1490.0,1253.0,3.901,2.5081,1.93,11.2,289.83,5322.0,4.51,True,nexsci
K2-212 b,0.0,0.002,0.034,0.23,0.0217,705.0,593.0,3.026,9.7955,2.5992,9.9,109.22,4272.0,4.64,True,nexsci
K2-214 b,0.001,0.002,0.016,0.22,0.0204,1310.0,1102.0,3.031,8.5968,3.7296,10.2,300.64,5854.0,4.25,True,nexsci
K2-215 b,,,,0.19,0.0162,,,3.051,8.2696,2.232,11.3,403.96,5704.0,4.41,True,nexsci
K2-216 b,0.002,0.004,0.013,0.16,0.02517,1309.0,1101.0,3.409,2.1748,1.84,9.7,115.46,4503.0,4.57,True,nexsci
K2-217 b,,,,0.32,0.0393,,,2.981,14.0745,5.688,10.7,381.88,5967.0,4.17,True,nexsci
K2-21 b,0.0,0.001,0.026,0.16,0.0127,708.0,595.0,3.068,9.325,2.372,9.4,83.64,4222.0,4.83,True,nexsci
K2-21 c,0.0,0.001,0.032,0.22,0.0213,597.0,502.0,3.03,15.5019,2.333,9.4,83.64,4222.0,4.83,True,nexsci
K2-220 b,0.0,0.001,0.017,0.21,0.0198,987.0,830.0,3.034,13.6833,3.12,10.2,233.51,5660.0,4.4,True,nexsci
K2-222 b,0.0,0.004,0.048,0.21,0.0198,1042.0,876.0,3.034,15.3871,4.3896,8.1,101.32,6058.0,4.37,True,nexsci
K2-223 b,,,,0.08,0.00201,2981.0,2507.0,2.902,0.5056,,9.8,198.6,5859.0,4.5,True,nexsci
K2-223 c,,,,0.13,0.00899,1434.0,1206.0,3.094,4.5625,,9.8,198.6,5859.0,4.5,True,nexsci
K2-224 b,,,,0.14,0.00961,1300.0,1093.0,3.091,4.479,,10.9,275.25,5620.0,4.55,True,nexsci
K2-224 c,,,,0.21,0.0201,992.0,834.0,3.033,10.0949,,10.9,275.25,5620.0,4.55,True,nexsci
K2-227 b,,,,0.15,0.0107,,,3.077,13.6218,,10.0,187.23,5673.0,4.58,True,nexsci
K2-225 b,,,,0.31,0.0377,1173.0,986.0,2.985,15.8721,,10.0,357.78,5742.0,4.08,True,nexsci
K2-226 b,,,,0.14,0.0094,1460.0,1228.0,3.094,3.2711,,10.2,211.26,5424.0,4.47,True,nexsci
K2-228 b,,,,0.11,0.00606,1186.0,997.0,3.11,2.6983,,10.3,129.46,4715.0,4.66,True,nexsci
K2-229 b,,,,0.09,0.00783,2367.0,1990.0,3.389,0.5842,,9.1,102.56,5315.0,4.6,True,nexsci
K2-229 c,,,,0.18,0.06702,977.0,821.0,3.705,8.3273,,9.1,102.56,5315.0,4.59,True,nexsci
K2-22 b,0.01,0.006,0.0,0.2,1.4,1786.0,1502.0,4.917,0.3811,0.5856,11.9,243.84,3879.0,4.7,True,nexsci
K2-230 b,,,,0.17,0.0142,1987.0,1671.0,3.06,2.8604,,11.3,540.77,5945.0,4.2,True,nexsci
K2-231 b,,,,0.22,0.0214,,,3.028,13.8419,2.952,10.9,321.21,5695.0,4.48,True,nexsci
K2-232 b,0.019,0.103,0.226,1.0,0.398,1181.0,993.0,2.994,11.1685,5.0302,8.4,130.72,6154.0,4.38,True,nexsci
K2-233 b,0.002,0.005,0.009,0.12,0.03543,1337.0,1124.0,3.785,2.4675,1.988,8.4,67.51,5033.0,4.64,True,nexsci
K2-233 c,0.0,0.002,0.005,0.11,0.0403,942.0,792.0,3.886,7.0601,2.796,8.4,67.51,5033.0,4.64,True,nexsci
K2-233 d,0.0,0.001,0.016,0.21,0.06651,623.0,524.0,3.573,24.3645,3.838,8.4,67.51,5033.0,4.64,True,nexsci
K2-237 b,0.437,0.221,0.104,1.45,1.363,2170.0,1825.0,3.209,2.1805,2.9278,10.2,315.0,6360.0,4.34,True,nexsci
K2-238 b,,,,1.3,0.86,1898.0,1596.0,3.101,3.2047,,12.0,537.96,5630.0,4.11,True,nexsci
K2-239 b,0.0,0.0,0.026,0.1,0.0043,560.0,471.0,3.045,5.24,1.4664,10.0,31.08,3420.0,4.9,True,nexsci
K2-239 c,0.0,0.0,0.022,0.09,0.00306,490.0,412.0,2.981,7.775,1.248,10.0,31.08,3420.0,4.9,True,nexsci
K2-239 d,0.0,0.0,0.023,0.1,0.0043,450.0,378.0,3.045,10.115,1.8384,10.0,31.08,3420.0,4.9,True,nexsci
K2-240 b,0.0,0.002,0.037,0.18,0.0147,709.0,596.0,3.061,6.034,2.1528,9.6,72.91,3810.0,4.7,True,nexsci
K2-240 c,0.0,0.0,0.027,0.16,0.0123,472.0,397.0,3.07,20.523,3.192,9.6,72.91,3810.0,4.7,True,nexsci
K2-241 b,,,,0.23,0.0221,660.0,555.0,3.027,26.8199,,9.9,149.46,5262.0,4.54,True,nexsci
K2-242 b,,,,0.23,0.022,543.0,456.0,3.025,6.5139,,11.8,109.24,3459.0,4.89,True,nexsci
K2-243 b,,,,0.19,0.0168,1347.0,1133.0,3.044,11.5418,,9.6,266.86,6570.0,4.26,True,nexsci
K2-243 c,,,,0.18,0.0148,1042.0,876.0,3.059,24.946,,9.6,266.86,6570.0,4.26,True,nexsci
K2-244 b,,,,0.16,0.0117,829.0,697.0,3.076,21.0688,,10.2,212.9,5677.0,4.44,True,nexsci
K2-245 b,,,,0.39,0.0546,1199.0,1009.0,2.956,11.8931,,11.2,456.06,5793.0,4.16,True,nexsci
K2-246 b,,,,0.31,0.0377,1271.0,1069.0,2.985,5.7692,,12.8,703.62,5610.0,4.43,True,nexsci
K2-247 b,,,,0.19,0.0162,1275.0,1072.0,3.051,2.2502,,11.6,258.11,4667.0,4.63,True,nexsci
K2-247 c,,,,0.2,0.0171,896.0,754.0,3.047,6.4942,,11.6,258.11,4667.0,4.63,True,nexsci
K2-248 b,,,,0.23,0.0224,1150.0,967.0,3.025,7.1726,,11.6,406.25,5528.0,4.45,True,nexsci
K2-249 b,,,,0.25,0.0258,1377.0,1158.0,3.013,12.409,,10.9,521.72,6504.0,4.16,True,nexsci
K2-24 b,0.0,0.008,0.094,0.48,0.05978,885.0,744.0,2.805,20.8898,5.498,9.2,170.56,5625.0,4.29,True,nexsci
K2-24 c,0.0,0.007,0.265,0.67,0.04845,699.0,588.0,2.429,42.3391,6.498,9.2,170.56,5625.0,4.29,True,nexsci
K2-250 b,,,,0.22,0.0205,1246.0,1048.0,3.029,4.0146,,12.0,414.71,5172.0,4.53,True,nexsci
K2-251 b,,,,0.21,0.0193,566.0,476.0,3.035,9.3008,,11.5,147.03,3717.0,4.76,True,nexsci
K2-252 b,,,,0.15,0.0116,829.0,697.0,3.078,13.8151,,10.7,228.84,5152.0,4.5,True,nexsci
K2-254 b,,,,0.14,0.0104,1027.0,863.0,3.089,4.0964,,11.3,227.78,4629.0,4.64,True,nexsci
K2-254 c,,,,0.2,0.0171,715.0,601.0,3.047,12.1184,,11.3,227.78,4629.0,4.64,True,nexsci
K2-255 b,,,,0.26,0.0275,1346.0,1132.0,3.007,1.9642,,10.8,191.61,4676.0,4.62,True,nexsci
K2-256 b,,,,0.23,0.0233,1099.0,924.0,3.019,5.5201,,12.8,564.69,5219.0,4.58,True,nexsci
K2-257 b,,,,0.07,0.00157,1028.0,864.0,2.852,1.6059,,9.7,64.01,3725.0,4.76,True,nexsci
K2-258 b,,,,0.27,0.0292,1080.0,908.0,3.003,19.0921,,11.8,661.87,6351.0,4.29,True,nexsci
K2-259 b,,,,0.21,0.0189,1036.0,871.0,3.039,15.4804,,11.1,416.46,6059.0,4.39,True,nexsci
K2-25 b,0.0,0.004,0.041,0.31,0.07709,585.0,492.0,3.31,3.4846,0.7637,10.4,44.96,3207.0,4.94,True,nexsci
K2-260 b,0.32,0.131,0.06,1.55,1.42,2361.0,1986.0,3.165,2.6267,4.1676,11.1,663.83,6367.0,4.15,True,nexsci
K2-261 b,0.011,0.041,0.127,0.85,0.188,1244.0,1046.0,2.81,11.6335,5.138,8.9,213.28,5445.0,4.04,True,nexsci
K2-263 b,0.0,0.0,0.008,0.21,0.04657,559.0,470.0,3.397,50.8189,3.4872,9.7,162.48,5368.0,4.51,True,nexsci
K2-264 b,0.0,0.001,0.015,0.2,0.0176,642.0,540.0,3.042,5.84,1.884,12.2,185.6,3660.0,4.78,True,nexsci
K2-264 c,0.0,0.0,0.014,0.24,0.0239,428.0,360.0,3.019,19.6603,2.618,12.2,185.6,3660.0,4.78,True,nexsci
K2-265 b,0.004,0.004,0.014,0.15,0.02058,1692.0,1423.0,3.338,2.3692,2.266,9.3,138.67,5477.0,4.42,True,nexsci
K2-266 b,0.034,0.021,0.056,0.29,0.03545,1799.0,1513.0,3.007,0.6585,0.3334,8.9,77.56,4285.0,4.58,True,nexsci
K2-266 c,0.0,0.0,0.025,0.06,0.00091,789.0,663.0,2.755,7.814,2.256,8.9,77.56,4285.0,4.58,True,nexsci
K2-266 d,0.0,0.002,0.056,0.26,0.028,639.0,537.0,3.008,14.697,3.408,8.9,77.56,4285.0,4.58,True,nexsci
K2-266 e,0.0,0.001,0.027,0.24,0.04499,582.0,489.0,3.273,19.482,3.6648,8.9,77.56,4285.0,4.58,True,nexsci
K2-268 b,0.001,0.001,0.01,0.13,0.00899,1473.0,1239.0,3.094,2.1517,1.97,11.6,327.78,5106.0,4.58,True,nexsci
K2-268 c,0.0,0.001,0.015,0.24,0.0242,904.0,760.0,3.018,9.3275,2.8104,11.6,327.78,5106.0,4.58,True,nexsci
K2-269 b,0.001,0.001,0.008,0.14,0.00972,1861.0,1565.0,3.09,4.145,2.7096,10.2,360.76,6209.0,4.18,True,nexsci
K2-26 b,0.0,0.001,0.04,0.24,0.0239,505.0,424.0,3.019,14.5665,4.75,10.5,99.05,3785.0,4.72,True,nexsci
K2-270 b,0.001,0.001,0.01,0.12,0.0078,1561.0,1313.0,3.106,1.5431,1.644,11.4,280.52,4877.0,4.59,True,nexsci
K2-270 c,0.0,0.003,0.018,0.26,0.0283,1101.0,926.0,3.006,4.4,1.56,11.4,280.52,4877.0,4.59,True,nexsci
K2-271 b,0.002,0.009,0.037,0.65,0.131,1161.0,976.0,2.887,8.5624,3.24,12.2,564.45,5644.0,4.37,True,nexsci
K2-272 b,0.0,0.001,0.014,0.28,0.0313,889.0,747.0,2.999,14.4537,3.22,12.0,423.06,5397.0,4.53,True,nexsci
K2-273 b,0.0,0.003,0.025,0.27,0.03,1011.0,850.0,3.002,11.7196,4.872,11.3,308.11,5161.0,4.53,True,nexsci
K2-274 b,0.0,0.001,0.018,0.19,0.0157,779.0,655.0,3.051,14.133,3.648,11.0,228.33,5044.0,4.64,True,nexsci
K2-275 b,0.004,0.009,0.048,0.21,0.0191,1386.0,1165.0,3.035,3.281,1.9296,9.7,123.44,4841.0,4.65,True,nexsci
K2-275 c,0.0,0.002,0.027,0.2,0.0174,777.0,653.0,3.046,8.4388,2.34,9.7,123.44,4841.0,4.65,True,nexsci
K2-276 b,0.0,0.001,0.019,0.34,0.043,756.0,636.0,2.975,18.7183,6.888,12.3,488.15,5139.0,4.49,True,nexsci
K2-277 b,0.001,0.004,0.031,0.18,0.0155,1248.0,1049.0,3.05,6.3268,1.944,8.7,113.12,5741.0,4.48,True,nexsci
K2-278 b,0.005,0.003,0.011,0.27,0.0288,2222.0,1869.0,3.004,3.335,3.936,11.7,786.44,6747.0,4.17,True,nexsci
K2-279 b,0.0,0.001,0.013,0.11,0.00606,1142.0,960.0,3.11,7.1226,3.072,10.0,182.98,5558.0,4.46,True,nexsci
K2-27 b,0.001,0.007,0.025,0.4,0.09722,1097.0,922.0,3.178,6.7713,2.802,10.7,249.65,5248.0,4.48,True,nexsci
K2-280 b,0.0,0.01,0.066,0.67,0.11673,934.0,785.0,2.811,19.8953,8.2776,10.8,391.54,5500.0,4.21,True,nexsci
K2-281 b,0.0,0.008,0.042,0.73,0.16,865.0,728.0,2.872,8.6877,2.7504,12.5,458.14,4812.0,4.59,True,nexsci
K2-282 b,0.001,0.002,0.011,0.22,0.0214,1412.0,1187.0,3.028,4.1698,2.7312,12.0,496.29,5499.0,4.5,True,nexsci
K2-283 b,0.004,0.006,0.022,0.31,0.0383,1540.0,1295.0,2.984,1.921,1.7496,12.0,402.92,5060.0,4.56,True,nexsci
K2-28 b,0.0,0.004,0.059,0.21,0.0189,678.0,571.0,3.039,2.2605,0.9816,10.7,63.0,3214.0,4.93,True,nexsci
K2-29 b,0.069,0.149,0.139,1.19,0.73,1388.0,1167.0,3.106,3.2588,2.22,10.1,178.47,5358.0,4.54,True,nexsci
K2-30 b,0.021,0.064,0.074,1.04,0.579,1296.0,1090.0,3.124,4.0985,2.3976,11.1,333.04,5425.0,4.54,True,nexsci
K2-31 b,0.391,0.298,0.074,1.06,1.774,1803.0,1516.0,3.593,1.2578,0.9816,8.9,110.53,5280.0,4.6,True,nexsci
K2-32 b,0.001,0.014,0.136,0.47,0.0472,994.0,836.0,2.718,8.992,3.488,9.8,157.68,5271.0,4.49,True,nexsci
K2-32 c,0.0,0.002,0.044,0.28,0.02549,753.0,634.0,2.906,20.6609,4.35,9.8,157.68,5271.0,4.49,True,nexsci
K2-32 d,0.0,0.001,0.067,0.31,0.02108,653.0,549.0,2.733,31.717,4.888,9.8,157.68,5271.0,4.49,True,nexsci
K2-33 b,0.002,0.016,0.001,0.45,3.7,1029.0,865.0,4.656,5.4249,4.08,10.0,139.27,3540.0,4.06,True,nexsci
K2-34 b,0.169,0.105,0.035,1.23,1.698,2005.0,1686.0,3.446,2.9956,2.4768,10.2,348.65,6168.0,4.2,True,nexsci
K2-35 b,0.0,0.001,0.011,0.12,0.00724,1129.0,949.0,3.11,2.4,1.992,11.4,252.6,4403.0,4.7,True,nexsci
K2-35 c,0.0,0.001,0.013,0.17,0.0138,848.0,713.0,3.063,5.6084,1.7976,11.4,252.6,4403.0,4.7,True,nexsci
K2-36 b,0.003,0.004,0.016,0.13,0.01227,1602.0,1347.0,3.269,1.4226,1.1232,9.5,109.75,4916.0,4.62,True,nexsci
K2-36 c,0.001,0.006,0.057,0.28,0.02454,1029.0,866.0,2.874,5.3409,1.153,9.5,109.75,4916.0,4.62,True,nexsci
K2-37 b,0.001,0.002,0.016,0.14,0.0101,1266.0,1065.0,3.082,4.4412,2.3,10.1,179.94,5413.0,4.52,True,nexsci
K2-37 c,0.001,0.004,0.032,0.24,0.0252,1119.0,941.0,3.017,6.429,2.9016,10.1,179.94,5413.0,4.52,True,nexsci
K2-37 d,0.0,0.002,0.024,0.24,0.0249,862.0,725.0,3.016,14.0919,2.65,10.1,179.94,5413.0,4.52,True,nexsci
K2-38 b,0.003,0.003,0.003,0.17,0.06,1722.0,1448.0,3.711,4.0159,2.74,9.5,192.69,5757.0,4.35,True,nexsci
K2-38 c,0.0,0.002,0.013,0.22,0.03115,1115.0,938.0,3.219,10.561,2.38,9.5,192.69,5757.0,4.35,True,nexsci
K2-39 b,0.054,0.027,0.056,0.56,0.09,2019.0,1698.0,2.852,4.6054,8.184,8.5,307.47,4881.0,3.44,True,nexsci
K2-3 b,0.0,0.002,0.037,0.18,0.02039,615.0,517.0,3.208,10.0546,2.563,8.6,44.07,3896.0,4.73,True,nexsci
Kepler-65 e,,,,1.24,0.82,,,3.121,258.8,,9.8,303.73,6220.0,4.23,False,nexsci
K2-3 c,0.0,0.0,0.046,0.14,0.00673,456.0,383.0,2.936,24.6466,3.428,8.6,44.07,3896.0,4.73,True,nexsci
K2-3 d,0.0,0.0,0.029,0.14,0.00881,365.0,307.0,3.072,44.5565,4.17,8.6,44.07,3896.0,4.73,True,nexsci
CI Tau b,,,,1.11,11.6,,,4.368,8.9891,,7.8,158.0,3807.0,,False,nexsci
K2-42 b,0.0,0.001,0.012,0.19,0.0166,852.0,716.0,3.048,6.688,3.04,12.3,396.91,4613.0,4.66,True,nexsci
K2-43 b,0.0,0.007,0.049,0.4,0.0583,832.0,700.0,2.951,3.4711,2.0448,11.6,182.54,3841.0,4.7,True,nexsci
K2-44 b,0.002,0.002,0.012,0.22,0.0204,1740.0,1463.0,3.031,5.657,4.296,10.7,476.7,5912.0,4.1,True,nexsci
K2-45 b,0.003,0.024,0.08,0.6,0.114,1055.0,887.0,2.896,1.7293,1.689,12.8,495.32,4103.0,4.82,True,nexsci
K2-46 b,0.0,0.001,0.011,0.18,0.0153,1096.0,922.0,3.054,19.1541,7.008,10.8,449.24,6256.0,4.2,True,nexsci
K2-47 b,0.0,0.0,0.008,0.17,0.0133,599.0,504.0,3.062,31.6372,4.632,11.7,349.88,5054.0,4.54,True,nexsci
K2-48 b,0.0,0.0,0.01,0.2,0.0178,655.0,551.0,3.043,20.5065,3.384,11.8,313.76,4899.0,4.6,True,nexsci
K2-49 b,0.0,0.001,0.016,0.17,0.0138,914.0,768.0,3.063,2.7706,2.307,12.7,457.13,4175.0,4.81,True,nexsci
K2-4 b,0.0,0.0,0.015,0.19,0.0159,622.0,523.0,3.052,10.0034,2.9232,11.6,231.83,4015.0,4.85,True,nexsci
K2-50 b,0.0,0.0,0.012,0.14,0.00993,693.0,583.0,3.087,8.7529,3.0,11.7,257.44,4326.0,4.74,True,nexsci
K2-52 b,0.196,0.069,0.0,1.61,144.0,2610.0,2195.0,5.141,3.5351,5.4312,11.9,1038.41,7147.0,3.98,True,nexsci
K2-53 b,0.0,0.003,0.035,0.23,0.0229,868.0,730.0,3.023,12.2077,3.48,9.7,138.02,5263.0,4.55,True,nexsci
