Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
BD-10 3166 b,,,,1.26,0.59,1475.0,1240.0,2.964,3.4878,,8.1,84.41,5393.0,4.69,False,nexsci
BD-11 4672 b,,,,1.25,0.65,136.0,114.0,3.013,1634.0,,6.9,27.17,4550.0,4.64,False,nexsci
BD-13 2130 b,,,,1.11,9.78,886.0,745.0,4.294,714.3,,7.2,925.21,4545.0,2.2,False,nexsci
BD-17 63 b,,,,1.15,5.1,194.0,163.0,3.98,655.6,,6.9,34.46,4714.0,4.26,False,nexsci
bet Cnc b,,,,1.12,7.8,1236.0,1040.0,4.188,605.2,,0.2,89.05,4092.0,1.4,False,nexsci
bet UMi b,,,,1.14,6.1,1238.0,1041.0,4.066,522.3,,-1.3,38.77,4126.0,1.5,False,nexsci
CFBDSIR J145829+101343 b,,,,1.11,10.5,,370.0,4.325,10037.5,,,23.1,581.0,4.72,False,nexsci
bet Pic b,,,,1.65,11.0,190.0,159.0,4.001,7665.0,,3.5,19.74,8039.0,4.35,False,nexsci
CoRoT-22 b,0.001,0.004,0.038,0.43,0.038,1199.0,1008.0,2.697,9.756,4.492,12.0,627.16,5939.0,4.36,True,nexsci
CoRoT-7 b,0.01,0.005,0.02,0.15,0.01283,2113.0,1777.0,3.15,0.8536,1.059,9.8,159.91,5275.0,4.5,True,nexsci
GJ 3323 c,,,,0.12,0.00727,177.0,148.0,3.112,40.54,,6.7,5.37,3159.0,,False,nexsci
CoRoTID 223977153 b,0.001,0.009,0.029,0.57,0.15,1142.0,960.0,3.059,6.7184,2.496,12.2,576.68,5970.0,4.67,True,nexsci
EPIC 211822797 b,0.0,0.0,0.012,0.17,0.0137,513.0,431.0,3.065,21.1702,3.576,11.4,186.2,4057.0,4.7,True,nexsci
GJ 581 c,,,,0.2,0.0173,417.0,350.0,3.043,12.914,,5.8,6.3,3396.0,4.89,False,nexsci
GJ 581 e,,,,0.1,0.0053,667.0,561.0,3.084,3.149,,5.8,6.3,3396.0,4.89,False,nexsci
